agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit16	b46f3f27-d6cd-45f7-9d38-cbdc557d0f94	OnScene	40.275767	-108.283917	2024-07-04T14:37:00	2024-07-04T14:37:00
CoStateTest	FixedUnit4	3899ba4d-5d06-48fe-9cdd-0406f0179b94	OnScene	40.219050	-108.999090	2024-07-04T21:08:00	2024-07-04T21:08:00
CoStateTest	FixedUnit7	6a061eee-c35b-4cf6-ab48-e37889c7fbb7	OnScene	39.860278	-108.217500	2024-07-15T19:01:00	2024-07-15T19:01:00
CoStateTest	FixedUnit11	933fec3c-1ddd-4cd3-badf-672475907428	Avail	40.238260	-108.914540	2024-06-22T16:48:00	2024-06-22T16:48:00
CoStateTest	FixedUnit21	f5abcf5b-6638-4a94-a2af-3f857b19851d	OnScene	40.622459	-108.375961	2024-06-30T17:26:00	2024-06-30T17:26:00
CoStateTest	FixedUnit18	f261ff43-a1f9-40b6-803c-bcd86575db2a	OnScene	40.296283	-108.661967	2024-06-28T14:31:00	2024-06-28T14:31:00
CoStateTest	FixedUnit8	7a5cb85d-ed7b-4f3e-a376-76111e6df53e	Avail	40.844425	-106.810357	2024-06-24T17:01:00	2024-06-24T17:01:00
CoStateTest	FixedUnit20	f510a5d5-1662-4984-8fde-7ffdd7ee395d	OnScene	40.036667	-108.498333	2024-06-26T15:01:00	2024-06-26T15:01:00
CoStateTest	FixedUnit1	157c3f53-2cc1-44e8-9337-5ec3aa116870	OnScene	39.957450	-108.549750	2024-07-02T16:11:00	2024-07-02T16:11:00
CoStateTest	FixedUnit13	a73b45ea-dc24-40b2-aed2-22d507e4b893	Avail	40.770332	-107.424863	2024-07-01T08:00:00	2024-07-01T08:00:00
CoStateTest	FixedUnit14	b15349ce-1055-40ec-b575-2e9a5c434c0e	OnScene	39.947767	-108.506500	2024-07-13T17:50:00	2024-07-13T17:50:00
CoStateTest	FixedUnit3	305f7ee8-7ef2-4837-8e03-53de3403e25f	OnScene	39.984910	-108.857630	2024-07-16T18:36:00	2024-07-16T18:36:00
CoStateTest	FixedUnit9	8aae9e5b-34ee-4437-84d7-9593c49427de	OnScene	39.770660	-108.338710	2024-07-17T14:07:00	2024-07-17T14:07:00
CoStateTest	FixedUnit10	90f77cd1-b802-4146-8931-b2c133cd9c50	Avail	40.592917	-108.610783	2024-06-30T18:05:11.935	2024-06-30T18:05:11.935
CoStateTest	FixedUnit6	663c877c-8f86-49d4-80a2-6d46b5f89975	OnScene	40.580662	-108.107333	2024-07-01T11:33:00	2024-07-01T11:33:00
CoStateTest	FixedUnit17	ebb7e5b6-62c0-419d-a693-1cb03b1a3e9e	OnScene	40.212340	-108.257160	2024-07-01T10:30:00	2024-07-01T10:30:00
CoStateTest	FixedUnit12	9ecad6c0-6dfb-47de-a3d8-6437273a30a2	OnScene	40.236909	-107.666187	2024-07-18T15:50:37.822	2024-07-18T15:50:37.822
CoStateTest	FixedUnit2	22789ad3-2874-4ce1-813d-9c428cb36686	OnScene	40.012433	-108.725283	2024-07-01T13:17:15.772	2024-07-01T13:17:15.772
CoStateTest	FixedUnit5	61b21fd0-b047-4bfe-86b1-eb1d35e3c737	OnScene	40.672969	-108.826103	2024-06-24T21:50:00	2024-06-24T21:50:00
CoStateTest	FixedUnit19	f4ac5618-3324-44e5-8690-fa5fddeb11d3	OnScene	40.064800	-108.322450	2024-07-01T16:30:00	2024-07-01T16:30:00
CoStateTest	FixedUnit15	b3d9fed4-dc9d-4cf1-9cae-f7bfdca1148b	OnScene	39.822167	-108.306500	2024-07-16T16:55:00	2024-07-16T16:55:00
