agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit28	80015157-c014-4c8e-bff3-16c3b1e338bf	OnScene	37.428917	-107.152967	2024-07-14T15:20:37.132	2024-07-14T15:20:37.132
CoStateTest	FixedUnit30	b94e94e6-2a09-4023-b33d-976b5eb4d0fc	OnScene	37.019300	-107.834867	2024-07-07T14:21:00	2024-07-07T14:21:00
CoStateTest	FixedUnit23	023b1fed-ab18-4ebc-aabd-3fbd20f2bfa0	OnScene	37.398467	-108.500000	2024-07-02T09:16:49.612	2024-07-02T09:16:49.612
CoStateTest	FixedUnit35	e73ecbea-96c0-4c91-aef7-91bc9692bb62	OnScene	37.333067	-107.294917	2024-07-13T11:27:03.694	2024-07-13T11:27:03.694
CoStateTest	FixedUnit27	6027acd0-d7ee-484a-94f4-1455db696136	OnScene	37.310750	-106.946300	2024-07-14T16:12:38.628	2024-07-14T16:12:38.628
CoStateTest	FixedUnit24	1180ca3f-1556-4435-aa51-17ae59bc4630	OnScene	37.022222	-108.370000	2024-07-13T12:03:00	2024-07-13T12:03:00
CoStateTest	FixedUnit29	a4485e65-5990-446a-be69-8f0f2cd1671a	Avail	38.032450	-108.904717	2024-07-15T17:16:36.041	2024-07-15T17:16:36.041
CoStateTest	FixedUnit31	c2b8058d-2029-4e49-8e27-a52d97a6c4b0	OnScene	37.473783	-108.901833	2024-06-27T17:30:33.377	2024-06-27T17:30:33.377
CoStateTest	FixedUnit33	d24343d8-a0f3-4fc4-9ed3-a28ad524444a	OnScene	37.163533	-108.471000	2024-06-27T14:51:00	2024-06-27T14:51:00
CoStateTest	FixedUnit25	1a6b4805-81e4-46a9-b36a-b7cb3e8dd092	OnScene	37.404467	-106.738917	2024-07-17T09:14:00	2024-07-17T09:14:00
CoStateTest	FixedUnit36	f9e17f7d-555e-4cd6-9b9c-bb614bd36539	OnScene	37.702350	-107.756950	2024-07-03T09:22:31.44	2024-07-03T09:22:31.44
CoStateTest	FixedUnit22	01e57a19-470e-4a86-9da1-3bf2d15f3f5a	OnScene	37.737800	-108.912500	2024-07-15T20:14:00	2024-07-15T20:14:00
CoStateTest	FixedUnit34	e141a67c-ea2b-47a9-91cf-38e59c7a5b12	OnScene	37.009633	-107.639783	2024-06-27T18:02:00	2024-06-27T18:02:00
CoStateTest	FixedUnit26	49a71ef1-193b-4804-9cef-2a1b0f3ceee8	OnScene	37.295133	-107.160717	2024-07-14T09:17:17.733	2024-07-14T09:17:17.733
CoStateTest	FixedUnit32	c5bc369d-b857-4a21-bfde-7779041975e8	OnScene	37.319317	-107.547133	2024-07-12T12:55:00	2024-07-12T12:55:00
