agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit50	fcd98fdd-3218-4888-b07a-0196e079ff9c	OnScene	40.203050	-105.404300	2024-07-08T13:30:00	2024-07-08T13:30:00
CoStateTest	FixedUnit45	800c6055-c285-4259-9d3a-f8ca21d89cd2	Avail	40.748000	-105.509000	2024-07-15T18:36:42.226	2024-07-15T18:36:42.226
CoStateTest	FixedUnit43	63f55a65-4b19-4dfc-b20c-acfe3f67692e	OnScene	40.327254	-105.493722	2024-07-13T19:23:14.483	2024-07-13T19:23:14.483
CoStateTest	FixedUnit47	bcd1ff56-3431-4027-98e9-562cb6de08a9	Avail	39.847800	-104.279200	2024-07-12T17:26:02.08	2024-07-12T17:26:02.08
CoStateTest	FixedUnit49	fae3cd70-69c4-4c43-b8bc-a109895294ff	OnScene	39.786220	-105.335580	2024-07-14T08:37:26.381	2024-07-14T08:37:26.381
CoStateTest	FixedUnit41	378eed97-a3c6-450b-8379-001db784de00	Avail	39.975803	-105.286690	2024-07-12T11:33:00	2024-07-12T11:33:00
CoStateTest	FixedUnit42	44751945-9498-4698-b624-20366e020ba9	Avail	40.158467	-105.485267	2024-07-09T11:58:00	2024-07-09T11:58:00
CoStateTest	FixedUnit44	70da834f-9bf1-414f-a167-809cbb22b0fc	Avail	39.916824	-102.143511	2024-07-11T22:00:00	2024-07-11T22:00:00
CoStateTest	FixedUnit46	a732b032-d4e5-41e3-b223-0ffa7bbb159b	OnScene	40.233333	-105.417500	2024-07-08T11:23:00	2024-07-08T11:23:00
CoStateTest	FixedUnit48	ecc2f89d-ee07-432b-87ae-2a256615cf41	Avail	40.436005	-103.560605	2024-07-11T21:03:36.599	2024-07-11T21:03:36.599
