agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit100	f74d3f5d-cab8-4487-bc00-af16b16bdfbc	OnScene	39.543667	-107.705167	2024-07-05T17:26:00	2024-07-05T17:26:00
CoStateTest	FixedUnit61	200f853e-97e7-4dae-979f-f8860ee33694	Avail	39.913217	-106.944583	2024-07-02T13:42:26.557	2024-07-02T13:42:26.557
CoStateTest	FixedUnit97	eab2d58f-021d-4089-8f73-e9f193cea5e2	Avail	39.616383	-106.940200	2024-07-09T17:11:00	2024-07-09T17:11:00
CoStateTest	FixedUnit86	97799e03-6641-424e-b569-cdda0ff15035	OnScene	39.262263	-108.483548	2024-07-17T12:57:36.623	2024-07-17T12:57:36.623
CoStateTest	FixedUnit67	2c0c2f06-55bc-436b-804e-f0916210fe91	Avail	39.582633	-107.421950	2024-06-30T16:36:00	2024-06-30T16:36:00
CoStateTest	FixedUnit54	090f2758-a0c0-4b26-a88a-1288b36ea454	Avail	39.372500	-108.185833	2024-06-30T17:32:00	2024-06-30T17:32:00
CoStateTest	FixedUnit74	53c3db30-58eb-4eb8-ae58-8e8cc635b0ee	OnScene	39.141833	-108.914167	2024-07-15T12:48:53.575	2024-07-15T12:48:53.575
CoStateTest	FixedUnit65	28fdedf5-084d-4917-ab33-0f49df6c5968	Avail	39.218690	-108.644460	2024-07-02T11:56:19.337	2024-07-02T11:56:19.337
CoStateTest	FixedUnit51	0183cf2c-35fc-4efd-bedc-6a4416a0e4a7	Avail	39.476633	-107.598417	2024-07-03T14:04:00	2024-07-03T14:04:00
CoStateTest	FixedUnit92	d2747429-d499-4bb7-b424-08d8f31aef27	OnScene	39.071200	-109.046000	2024-07-15T09:49:07.574	2024-07-15T09:49:07.574
CoStateTest	FixedUnit84	948e0a57-a890-43d2-b4dc-94e356ddc177	Avail	39.585667	-107.481500	2024-06-29T17:20:00	2024-06-29T17:20:00
CoStateTest	FixedUnit87	b825915a-978a-41e8-9476-f87b131403f2	OnScene	39.584489	-107.704679	2024-07-07T15:01:22.501	2024-07-07T15:01:22.501
CoStateTest	FixedUnit80	793b93f7-4da8-4ef8-8f07-8acb2eb18e06	Avail	39.484783	-106.019083	2024-07-07T12:47:10.852	2024-07-07T12:47:10.852
CoStateTest	FixedUnit71	50708ead-7cd3-40ad-b9cb-f83768ec342f	OnScene	39.016788	-108.803790	2024-07-14T20:02:00.062	2024-07-14T20:02:00.062
CoStateTest	FixedUnit68	3afe50e2-6d03-4c33-b540-df2035291440	Avail	39.658611	-106.813056	2024-07-09T21:45:00	2024-07-09T21:45:00
CoStateTest	FixedUnit52	03dfa668-894f-41e0-8ce2-16f608233f98	Avail	39.341500	-108.528167	2024-07-02T11:27:36.744	2024-07-02T11:27:36.744
CoStateTest	FixedUnit95	dc499531-221c-40f3-9f5a-769da7220de3	Avail	39.432023	-109.018513	2024-06-22T13:08:25.006	2024-06-22T13:08:25.006
CoStateTest	FixedUnit63	26fd4319-d4e0-4bf7-bc37-57f39d3eee6c	Avail	38.492417	-108.827117	2024-06-28T11:25:59.78	2024-06-28T11:25:59.78
CoStateTest	FixedUnit76	5dcefedf-94b0-4383-a12d-02ebee45bb96	Avail	39.078257	-108.591365	2024-07-08T13:56:23.809	2024-07-08T13:56:23.809
CoStateTest	FixedUnit98	f058a63c-b9f8-40c4-bbab-7d25a89531d7	Avail	39.576467	-107.209867	2024-07-12T14:39:40.88	2024-07-12T14:39:40.88
CoStateTest	FixedUnit53	059d7f34-32bb-4d47-a0b1-f5e3efd6d830	Avail	39.526798	-107.991529	2024-06-20T14:55:45.156	2024-06-20T14:55:45.156
CoStateTest	FixedUnit94	d9dc409d-0479-48ee-a047-6f1ada2d8bbc	Avail	39.501417	-107.841783	2024-06-30T17:07:00	2024-06-30T17:07:00
