agency	unitId	incidentId	statusCode	latitude	longitude	statusUpdatedDatetime	gpsFixDatetime
CoStateTest	FixedUnit108	c2bec1a0-a473-4c45-a00f-49e4379bad5e	OnScene	37.375100	-103.884400	2024-07-15T11:22:00	2024-07-15T11:22:00
CoStateTest	FixedUnit114	e8097dfc-985b-43c9-8259-68bca4e76e93	OnScene	38.089400	-105.038700	2024-06-22T08:59:15.493	2024-06-22T08:59:15.493
CoStateTest	FixedUnit118	ff4b5885-de62-4508-b798-9141e3cf60a5	OnScene	38.512107	-104.809680	2024-07-13T13:00:00	2024-07-13T13:00:00
CoStateTest	FixedUnit103	4035d2c2-e65d-431d-b7fc-1de80936cf44	OnScene	37.143503	-106.001211	2024-07-16T20:40:21.142	2024-07-16T20:40:21.142
CoStateTest	FixedUnit107	af059aec-2ecf-45c8-9150-2cd216f8c68a	OnScene	37.101912	-102.096887	2024-07-14T10:46:52.732	2024-07-14T10:46:52.732
CoStateTest	FixedUnit117	f88d40a2-99f2-49d8-a3cf-640c03050fe2	Avail	39.196948	-105.620208	2024-07-14T15:11:00	2024-07-14T15:11:00
CoStateTest	FixedUnit106	6c70d146-cf14-4bd6-8a9b-754b1ef0994e	Avail	39.410511	-105.147269	2024-07-17T11:03:46.85	2024-07-17T11:03:46.85
CoStateTest	FixedUnit101	04508e72-dfab-4c35-993b-97199ad02071	OnScene	37.542267	-105.569517	2024-07-14T12:42:49.173	2024-07-14T12:42:49.173
CoStateTest	FixedUnit110	cef69f03-a917-46e2-94d6-8d6197065790	Avail	37.437865	-105.807566	2024-07-01T10:27:08.289	2024-07-01T10:27:08.289
CoStateTest	FixedUnit115	ef958dd6-6cb7-4cb0-b3c9-50bd94c8a549	OnScene	37.466400	-103.734700	2024-07-06T15:48:29.741	2024-07-06T15:48:29.741
CoStateTest	FixedUnit105	61cddfaf-28da-4db5-8677-85081c526ebd	OnScene	37.477367	-106.765800	2024-07-14T19:47:28.03	2024-07-14T19:47:28.03
CoStateTest	FixedUnit112	d57f8520-8f7a-4b4a-9a81-220955c483ec	OnScene	38.497200	-104.818400	2024-07-15T12:20:00	2024-07-15T12:20:00
CoStateTest	FixedUnit104	46ae5e08-3ecc-4f9f-b142-12d1374ed3ea	OnScene	37.151190	-103.336330	2024-07-17T15:20:30.429	2024-07-17T15:20:30.429
CoStateTest	FixedUnit116	f70b8519-0310-4398-ac0e-d772762d4758	Avail	39.339833	-105.366967	2024-07-14T19:21:13.238	2024-07-14T19:21:13.238
CoStateTest	FixedUnit111	d255c2e0-55f1-49af-8db6-6c927be4b53b	OnScene	39.658620	-104.191390	2024-07-13T11:10:00	2024-07-13T11:10:00
CoStateTest	FixedUnit109	cab8adf8-f702-46ec-8a24-66fb22ebde89	OnScene	38.921633	-106.089750	2024-07-07T18:00:32.484	2024-07-07T18:00:32.484
CoStateTest	FixedUnit102	22c077d4-09da-4081-8418-9adb76428cf1	OnScene	38.564800	-105.064633	2024-07-16T16:17:32.496	2024-07-16T16:17:32.496
CoStateTest	FixedUnit113	e48627a2-d0e3-47fc-9332-40637fab47b2	Avail	37.489360	-106.093010	2024-07-01T12:18:12.682	2024-07-01T12:18:12.682
